Response ID,Date submitted,Last page,Start language,Seed,VR1,VR2,VR3,VR4,VR5,VR6,VR7,VR8,VR9,VR10,VR11,VR12,VR13,VR14,VR15,VR16,VR17,VR18,VR19,VR20
105,,5,fr,1622711094,,,,,,,,,,,,,,,,,,,,
106,,8,fr,2034134345,,,,,,,,,,,,,,,,,,,,
107,,,fr,1040786668,,,,,,,,,,,,,,,,,,,,
108,,8,fr,,,,,,,,,,,,,,,,,,,,,
109,,8,fr,,,,,,,,,,,,,,,,,,,,,
110,,5,fr,2074688255,,,,,,,,,,,,,,,,,,,,
111,1980-01-01 00:00:00,14,en,1023203628,1,,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
112,,2,fr,869852881,,,,,,,,,,,,,,,,,,,,
113,,6,fr,389580628,,,,,,,,,,,,,,,,,,,,
114,,9,fr,866089160,0,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0
115,,2,fr,1424758962,,,,,,,,,,,,,,,,,,,,
116,,2,fr,1011929883,,,,,,,,,,,,,,,,,,,,
117,,1,fr,1008491072,,,,,,,,,,,,,,,,,,,,
118,,1,en,572412733,,,,,,,,,,,,,,,,,,,,
120,,13,fr,450677716,0,,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0
121,1980-01-01 00:00:00,14,en,2019598312,1,,0,0,1,0,0,0,1,,,,,,,,,,,
122,1980-01-01 00:00:00,14,en,1757642999,1,,0,1,1,,,0,0,1,0,1,1,0,0,0,0,0,0,0
123,,11,fr,305512382,1,,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
124,,6,fr,43341485,,,,,,,,,,,,,,,,,,,,
125,,2,fr,1478031915,,,,,,,,,,,,,,,,,,,,
126,1980-01-01 00:00:00,14,en,2130851784,1,,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0
127,,1,en,222698740,,,,,,,,,,,,,,,,,,,,
128,1980-01-01 00:00:00,14,fr,1694469819,0,,0,0,1,0,1,,1,0,0,0,1,0,1,0,1,1,1,1
129,,13,fr,1902150634,1,,0,0,1,,,1,1,0,0,0,1,1,1,1,1,1,1,0
130,1980-01-01 00:00:00,14,fr,2141308204,0,,0,0,1,0,0,,,0,0,0,0,0,1,0,0,1,0,0
131,1980-01-01 00:00:00,14,fr,8374472,1,,1,0,1,,1,1,1,,,0,1,0,0,0,1,1,1,0
132,1980-01-01 00:00:00,14,fr,906521186,1,,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0
133,,13,fr,1815164894,0,,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,1,0,0
134,,5,fr,2016667502,,,,,,,,,,,,,,,,,,,,
135,,1,fr,1756062735,,,,,,,,,,,,,,,,,,,,
136,1980-01-01 00:00:00,14,fr,1860304924,1,,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
137,1980-01-01 00:00:00,14,en,700748720,1,,0,0,1,,1,,1,0,1,0,1,0,0,0,0,1,1,1
138,1980-01-01 00:00:00,14,fr,2023653238,0,,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
139,1980-01-01 00:00:00,14,fr,663418776,0,,0,1,,0,0,,0,1,0,0,0,0,0,0,0,1,0,0
140,,2,fr,1991036684,,,,,,,,,,,,,,,,,,,,
141,1980-01-01 00:00:00,14,en,1222632614,1,,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
142,,11,fr,571071928,1,,,1,,,1,1,1,0,0,1,1,0,0,0,0,1,0,0
143,1980-01-01 00:00:00,14,fr,1057497455,1,,0,0,1,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
144,1980-01-01 00:00:00,14,fr,511079987,,,,,,,,,,,,,,,,,,,,
145,,,fr,301792279,,,,,,,,,,,,,,,,,,,,
146,1980-01-01 00:00:00,14,en,1422481885,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
147,,1,fr,1536884864,,,,,,,,,,,,,,,,,,,,
148,1980-01-01 00:00:00,14,fr,224455485,0,,0,0,1,,1,0,1,1,1,0,1,0,1,0,1,0,0,0
149,1980-01-01 00:00:00,14,fr,1744094201,0,,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0
150,,6,fr,2013860399,,,,,,,,,,,,,,,,,,,,
151,1980-01-01 00:00:00,14,fr,1525840926,1,,0,1,1,,1,0,1,1,0,0,1,0,0,0,1,1,0,0
152,1980-01-01 00:00:00,14,fr,1424476907,0,,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
153,,12,en,1151250711,1,,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1
154,,1,en,556052398,,,,,,,,,,,,,,,,,,,,
155,,2,fr,1372538522,,,,,,,,,,,,,,,,,,,,
156,,2,fr,876582184,,,,,,,,,,,,,,,,,,,,
157,,1,en,1070097972,,,,,,,,,,,,,,,,,,,,
158,,1,fr,229797710,,,,,,,,,,,,,,,,,,,,
159,,2,fr,1179852517,,,,,,,,,,,,,,,,,,,,
160,,1,en,1702301323,,,,,,,,,,,,,,,,,,,,
161,1980-01-01 00:00:00,14,en,323961712,1,,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0
162,,7,fr,2080502539,,,,,,,,,,,,,,,,,,,,
163,,2,fr,729199758,,,,,,,,,,,,,,,,,,,,
164,1980-01-01 00:00:00,14,fr,1688669145,1,,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0
165,,1,fr,166339003,,,,,,,,,,,,,,,,,,,,
166,1980-01-01 00:00:00,14,fr,1315260462,1,,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0
167,1980-01-01 00:00:00,14,fr,1486044106,1,,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
168,,,en,1995736746,,,,,,,,,,,,,,,,,,,,
169,1980-01-01 00:00:00,14,fr,24787842,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,,1,fr,24420012,,,,,,,,,,,,,,,,,,,,
171,,11,fr,173279496,1,,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
172,,13,fr,1962195763,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
173,1980-01-01 00:00:00,14,fr,1844863455,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
